species,class,order,maximum_lifespan_yr,mass_g,volancy,fossoriality,foraging_environment,daily_activity
Aotus_trivirgatus,Mammalia,Primates,30.1,800,nonvolant,nonfossorial,arboreal,nocturnal
Apodemus_sylvaticus,Mammalia,Rodentia,6.3,23.4,nonvolant,semifossorial,terrestrial,nocturnal
Arctictis_binturong,Mammalia,Carnivora,27,12250,nonvolant,nonfossorial,arboreal,nocturnal
Artibeus_jamaicensis,Mammalia,Chiroptera,19.2,42.2,volant,nonfossorial,in_air,nocturnal
Arvicanthis_niloticus,Mammalia,Rodentia,6.7,110,nonvolant,nonfossorial,terrestrial,cathemeral
Atelerix_albiventris,Mammalia,Erinaceomorpha,11.4,500,nonvolant,semifossorial,terrestrial,nocturnal
Ateles_chamek,Mammalia,Primates,42.8,6000,nonvolant,nonfossorial,arboreal,diurnal
Ateles_fusciceps,Mammalia,Primates,46,7000,nonvolant,nonfossorial,arboreal,diurnal
Ateles_geoffroyi,Mammalia,Primates,47.1,7267.5,nonvolant,nonfossorial,arboreal,diurnal
Ateles_paniscus,Mammalia,Primates,46,7887.5,nonvolant,nonfossorial,arboreal,diurnal
Axis_axis,Mammalia,Artiodactyla,20.8,36000,nonvolant,nonfossorial,terrestrial,cathemeral
Axis_calamianensis,Mammalia,Artiodactyla,17.2,40500,nonvolant,nonfossorial,terrestrial,cathemeral
Axis_porcinus,Mammalia,Artiodactyla,22.9,43000,nonvolant,nonfossorial,terrestrial,cathemeral
Babyrousa_babyrussa,Mammalia,Artiodactyla,22.9,71500,nonvolant,semifossorial,terrestrial,diurnal
Barbastella_barbastellus,Mammalia,Chiroptera,23,10.25,volant,nonfossorial,in_air,nocturnal
Bassariscus_astutus,Mammalia,Carnivora,19,1015,nonvolant,nonfossorial,arboreal,nocturnal
Bettongia_penicillata,Mammalia,Diprotodontia,18.8,1500,nonvolant,semifossorial,terrestrial,nocturnal
Bison_bison,Mammalia,Artiodactyla,33.5,630000,nonvolant,nonfossorial,terrestrial,diurnal
Bison_bonasus,Mammalia,Artiodactyla,26.4,610000,nonvolant,nonfossorial,terrestrial,diurnal
Bos_frontalis,Mammalia,Artiodactyla,26.2,825000,nonvolant,nonfossorial,terrestrial,cathemeral
Bos_grunniens,Mammalia,Artiodactyla,26.3,667000,nonvolant,nonfossorial,terrestrial,cathemeral
Bos_javanicus,Mammalia,Artiodactyla,27.1,7.00E+05,nonvolant,nonfossorial,terrestrial,cathemeral
Boselaphus_tragocamelus,Mammalia,Artiodactyla,21.7,180000,nonvolant,nonfossorial,terrestrial,diurnal
Bubalus_bubalis,Mammalia,Artiodactyla,34.9,725000,nonvolant,nonfossorial,terrestrial,diurnal
Bubalus_depressicornis,Mammalia,Artiodactyla,36.1,155000,nonvolant,nonfossorial,terrestrial,diurnal
